province_territory,municipality,source_class,canbics_class,street_view_url
ab,calgary,temporary,not_classified,
on,cambridge,access,not_classified,
on,cambridge,nan,not_classified,
on,cambridge,park,not_classified,
on,cambridge,walkway,not_classified,
on,cambridge,paved shoulder,major_shared_roadway,"https://www.google.com/maps/@43.44103,-80.3861065,3a,75y,156.56h,75.1t/data=!3m7!1e1!3m5!1scVdXxvPnMfuPy-EutBiM6Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcVdXxvPnMfuPy-EutBiM6Q%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D82.72713%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
on,cambridge,wide shared lane,major_shared_roadway,"https://www.google.com/maps/place/24+Elgin+St+N,+Cambridge,+ON+N1R+5G7/@43.3584998,-80.2972724,3a,75y,181.35h,82.53t/data=!3m7!1e1!3m5!1snTL1Hq6UeOwSSZ9aRx5Yjw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DnTL1Hq6UeOwSSZ9aRx5Yjw%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D261.96527%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882c77953f0ad13d:0x8793092f378555d1!2s24+Elgin+St+N,+Cambridge,+ON+N1R+5G7!3b1!8m2!3d43.3584714!4d-80.2975663!16s%2Fg%2F11c2cydyy1!3m5!1s0x882c77953f0ad13d:0x8793092f378555d1!8m2!3d43.3584714!4d-80.2975663!16s%2Fg%2F11c2cydyy1?entry=ttu"
on,cambridge,multi-use primary,multi_use_path,"https://www.google.com/maps/@43.3857701,-80.3010795,3a,75y,357.06h,89.63t/data=!3m6!1e1!3m4!1sVRT7XFyQjBnMIsUhwwFSHg!2e0!7i16384!8i8192?entry=ttu"
on,cambridge,multi-use secondary,multi_use_path,"https://www.google.com/maps/@43.3875442,-80.3591284,3a,75y,172.08h,90t/data=!3m7!1e1!3m5!1snqmoFT-gQNvgYRpnTNcFSw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DnqmoFT-gQNvgYRpnTNcFSw%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D169.63057%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
on,cambridge,bike lane,painted_bike_lane,"https://www.google.com/maps/place/244+Cedar+St,+Cambridge,+ON+N1S+1W7/@43.350781,-80.3333211,3a,75y,270.43h,88.99t/data=!3m7!1e1!3m5!1s-JrPI6Sve-wsLE0PumplxQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D-JrPI6Sve-wsLE0PumplxQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D334.6165%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882c765a8e8600ff:0x3bc387be39620b02!2s244+Cedar+St,+Cambridge,+ON+N1S+1W7!3b1!8m2!3d43.351031!4d-80.3334741!16s%2Fg%2F11c2dkz1yr!3m5!1s0x882c765a8e8600ff:0x3bc387be39620b02!8m2!3d43.351031!4d-80.3334741!16s%2Fg%2F11c2dkz1yr?entry=ttu"
on,cambridge,signed route,shared_roadway,"https://www.google.com/maps/place/161+Churchill+Dr,+Cambridge,+ON+N1S+1R9/@43.3536069,-80.3324135,3a,75y,260.03h,87.99t/data=!3m7!1e1!3m5!1seitcnuygXxUlk387qICVhQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DeitcnuygXxUlk387qICVhQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D327.47195%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882c76455f37c481:0xf0a47e0efe249d0e!2s161+Churchill+Dr,+Cambridge,+ON+N1S+1R9!3b1!8m2!3d43.3538342!4d-80.3326037!16s%2Fg%2F11c5lzgbjs!3m5!1s0x882c76455f37c481:0xf0a47e0efe249d0e!8m2!3d43.3538342!4d-80.3326037!16s%2Fg%2F11c5lzgbjs?entry=ttu"
on,cambridge,none,not_classified,
bc,campbell_river,shoulder bikeway,major_shared_roadway,
bc,campbell_river,marked wide curb lane,shared_roadway,"https://www.google.com/maps/@50.0325827,-125.2633899,3a,75y,305.39h,85.46t/data=!3m6!1e1!3m4!1ssmIXrSP1e-i4OYuJotMzHA!2e0!7i16384!8i8192?entry=ttu"
bc,campbell_river,shared curb lane,shared_roadway,"https://www.google.com/maps/@50.0379078,-125.2722486,3a,75y,201.39h,70.33t/data=!3m6!1e1!3m4!1sGDSISogX3NZxW_-csrN4pw!2e0!7i16384!8i8192?entry=ttu"
bc,campbell_river,multi-use pathway,multi_use_path,"https://www.google.com/maps/@50.0286233,-125.2644082,3a,75y,227.57h,97.6t/data=!3m6!1e1!3m4!1sLiumGJdALGbNlF66JTPCbw!2e0!7i13312!8i6656?entry=ttu"
bc,campbell_river,bicycle lane,painted_bike_lane,"https://www.google.com/maps/@50.0295191,-125.244399,3a,75y,310.99h,91.57t/data=!3m6!1e1!3m4!1sqDxKJc9SMWPovG-hUco4Bw!2e0!7i13312!8i6656?entry=ttu"
bc,campbell_river,local bikeway,shared_roadway,"https://www.google.com/maps/@50.0075129,-125.2569669,3a,75y,288.41h,87.16t/data=!3m6!1e1!3m4!1sUevv-YuZLb663-XQDMaUtQ!2e0!7i13312!8i6656?entry=ttu"
pe,charlottetown,cycle track,cycle_track,
pe,charlottetown,local street bikeway,local_street_bikeway,
pe,charlottetown,non-conforming- major street shared lane,major_shared_roadway,
pe,charlottetown,not classified,not_classified,
pe,charlottetown,non-conforming- multi-use trail,gravel_trail,"https://www.google.com/maps/@46.2578648,-63.1140112,3a,75y,133.14h,87.04t/data=!3m10!1e1!3m8!1ssF6wa3g42_flYs0exA8quw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DsF6wa3g42_flYs0exA8quw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D274.90353%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!9m2!1b1!2i39?entry=ttu"
